@relation 'adult-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.RemovePercentage-P25.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2,8-9,11,13'

@attribute age numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
0.232877,HS-grad,0.533333,Married-civ-spouse,Handlers-cleaners,Wife,0,0.397959,<=50K
0.082192,HS-grad,0.533333,Never-married,Handlers-cleaners,Not-in-family,0,0.397959,<=50K
0.164384,HS-grad,0.533333,Never-married,Adm-clerical,Unmarried,0,0.397959,<=50K
0.232877,Assoc-acdm,0.733333,Never-married,Tech-support,Unmarried,0,0.397959,<=50K
0.273973,Bachelors,0.8,Never-married,Adm-clerical,Not-in-family,0,0.397959,<=50K
0.342466,Assoc-acdm,0.733333,Married-civ-spouse,Sales,Husband,0,0.44898,>50K
0.465753,HS-grad,0.533333,Separated,Adm-clerical,Unmarried,0,0.397959,<=50K
0.232877,HS-grad,0.533333,Divorced,Adm-clerical,Unmarried,0,0.397959,<=50K
0.589041,9th,0.266667,Married-civ-spouse,Transport-moving,Husband,0,0.704082,<=50K
0.328767,HS-grad,0.533333,Never-married,Craft-repair,Unmarried,0,0.397959,<=50K
0.136986,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,0,0.397959,<=50K
0.39726,Some-college,0.6,Never-married,Machine-op-inspct,Not-in-family,0.02354,0.397959,<=50K
0.068493,HS-grad,0.533333,Divorced,Other-service,Own-child,0,0.346939,<=50K
0,10th,0.333333,Never-married,?,Own-child,0,0.397959,<=50K
0.013699,11th,0.4,Never-married,Other-service,Own-child,0,0.142857,<=50K
0.39726,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,0,0.397959,>50K
0.315068,Bachelors,0.8,Never-married,Prof-specialty,Not-in-family,0,0.295918,<=50K
0.09589,Bachelors,0.8,Never-married,Tech-support,Not-in-family,0,0.397959,<=50K
0.150685,Some-college,0.6,Never-married,Prof-specialty,Own-child,0,0.295918,<=50K
0.684932,Some-college,0.6,Married-civ-spouse,?,Husband,0,0.142857,>50K
0.493151,HS-grad,0.533333,Married-civ-spouse,Farming-fishing,Husband,0,1,<=50K
0.109589,Some-college,0.6,Never-married,Prof-specialty,Not-in-family,0,0.653061,<=50K
0.013699,HS-grad,0.533333,Never-married,Other-service,Own-child,0,0.193878,<=50K
0.643836,Some-college,0.6,Married-civ-spouse,Protective-serv,Husband,0,0.346939,<=50K
0.383562,Bachelors,0.8,Never-married,Other-service,Not-in-family,0,0.438776,>50K
0.205479,11th,0.4,Divorced,Transport-moving,Own-child,0,0.44898,<=50K
0.178082,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,0,0.295918,<=50K
0.246575,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,0,0.44898,<=50K
0.39726,Some-college,0.6,Divorced,?,Not-in-family,0,0.397959,<=50K
0.027397,HS-grad,0.533333,Never-married,Sales,Other-relative,0,0.27551,<=50K
0.191781,Bachelors,0.8,Never-married,Tech-support,Not-in-family,0.105201,0.397959,>50K
0.30137,Some-college,0.6,Married-civ-spouse,Sales,Husband,0,0.602041,<=50K
0.219178,Bachelors,0.8,Never-married,Exec-managerial,Not-in-family,0,0.397959,<=50K
0.109589,HS-grad,0.533333,Never-married,Handlers-cleaners,Other-relative,0,0.44898,<=50K
0.520548,HS-grad,0.533333,Divorced,Other-service,Other-relative,0,0.397959,<=50K
0.082192,HS-grad,0.533333,Never-married,Transport-moving,Own-child,0,0.397959,<=50K
0.383562,Some-college,0.6,Married-civ-spouse,Sales,Husband,0,0.653061,<=50K
0.342466,Some-college,0.6,Married-civ-spouse,Machine-op-inspct,Wife,0,0.479592,>50K
0.657534,10th,0.333333,Divorced,Other-service,Not-in-family,0,0.642857,<=50K
0.273973,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,0,0.397959,>50K
0.150685,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,0,0.5,<=50K
0.424658,7th-8th,0.2,Married-civ-spouse,Priv-house-serv,Wife,0,0.142857,<=50K
0.356164,Masters,0.866667,Divorced,Prof-specialty,Not-in-family,0,0.653061,<=50K
0.369863,HS-grad,0.533333,Never-married,Adm-clerical,Other-relative,0,0.397959,<=50K
0.561644,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,0.076881,0.44898,>50K
0.726027,Bachelors,0.8,Widowed,Prof-specialty,Not-in-family,0,0.295918,<=50K
0.150685,Masters,0.866667,Never-married,Prof-specialty,Not-in-family,0,0.55102,<=50K
0.39726,Prof-school,0.933333,Separated,Prof-specialty,Not-in-family,0.0465,0.397959,<=50K
0.219178,Some-college,0.6,Divorced,Other-service,Unmarried,0,0.55102,<=50K
0.246575,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,0,0.5,<=50K
0.013699,11th,0.4,Never-married,Prof-specialty,Own-child,0,0.397959,<=50K
0.164384,10th,0.333333,Divorced,Other-service,Not-in-family,0,0.295918,<=50K
0.164384,HS-grad,0.533333,Never-married,Machine-op-inspct,Unmarried,0,0.397959,<=50K
0.575342,HS-grad,0.533333,Married-civ-spouse,Farming-fishing,Husband,0,0.397959,>50K
0.164384,HS-grad,0.533333,Married-civ-spouse,Farming-fishing,Husband,0,0.397959,<=50K
0.068493,11th,0.4,Divorced,Sales,Other-relative,0,0.244898,<=50K
0.232877,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,0,0.44898,<=50K
0.178082,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,0,0.397959,<=50K
0.506849,Some-college,0.6,Married-civ-spouse,Prof-specialty,Husband,0,0.397959,>50K
0.287671,11th,0.4,Divorced,Transport-moving,Unmarried,0,0.55102,<=50K
0.369863,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,0,0.602041,>50K
0.178082,HS-grad,0.533333,Never-married,Farming-fishing,Own-child,0,0.602041,<=50K
0.150685,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,0,0.142857,<=50K
0.589041,Some-college,0.6,Widowed,?,Unmarried,0,0.540816,<=50K
0.547945,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,0,0.397959,<=50K
0.287671,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,0,0.602041,<=50K
0.356164,7th-8th,0.2,Divorced,Other-service,Unmarried,0,0.397959,<=50K
0.068493,11th,0.4,Married-civ-spouse,?,Wife,0,0.193878,<=50K
0.232877,Doctorate,1,Never-married,Exec-managerial,Not-in-family,0,0.397959,<=50K
0.39726,Some-college,0.6,Divorced,Exec-managerial,Not-in-family,0,0.5,<=50K
0.369863,HS-grad,0.533333,Divorced,Other-service,Unmarried,0,0.397959,<=50K
0.082192,Some-college,0.6,Never-married,Exec-managerial,Own-child,0,0.397959,<=50K
0.452055,Masters,0.866667,Never-married,Prof-specialty,Not-in-family,0,0.5,>50K
0.753425,7th-8th,0.2,Married-civ-spouse,Other-service,Husband,0,0.193878,<=50K
0.041096,Assoc-voc,0.666667,Never-married,?,Not-in-family,0,0.397959,<=50K
0.09589,HS-grad,0.533333,Never-married,Farming-fishing,Own-child,0,0.397959,<=50K
0.246575,HS-grad,0.533333,Never-married,Other-service,Not-in-family,0,0.397959,<=50K
0.616438,9th,0.266667,Married-civ-spouse,?,Husband,0,0.204082,<=50K
0.794521,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,0,0.346939,<=50K
0.054795,Some-college,0.6,Never-married,?,Own-child,0,0.142857,<=50K
0.589041,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.295918,<=50K
0.013699,HS-grad,0.533333,Never-married,Machine-op-inspct,Other-relative,0.02176,0.244898,<=50K
0.027397,HS-grad,0.533333,Never-married,Sales,Other-relative,0,0.142857,<=50K
0.191781,Some-college,0.6,Divorced,Exec-managerial,Not-in-family,0,0.397959,<=50K
0.260274,Bachelors,0.8,Divorced,Sales,Unmarried,0,0.071429,<=50K
0.09589,Bachelors,0.8,Never-married,Other-service,Not-in-family,0,0.316327,<=50K
0.616438,HS-grad,0.533333,Divorced,Machine-op-inspct,Unmarried,0,0.397959,<=50K
0.109589,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,0.03137,0.397959,<=50K
0.150685,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0,0.5,>50K
0.534247,Some-college,0.6,Married-civ-spouse,Prof-specialty,Husband,0,0.44898,<=50K
0.287671,Assoc-voc,0.666667,Widowed,Machine-op-inspct,Not-in-family,0,0.397959,<=50K
0.205479,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,0,0.602041,>50K
0.328767,12th,0.466667,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.219178,1st-4th,0.066667,Married-spouse-absent,Farming-fishing,Unmarried,0,0.397959,<=50K
0.287671,HS-grad,0.533333,Never-married,Sales,Unmarried,0,0.295918,<=50K
0.369863,HS-grad,0.533333,Never-married,Handlers-cleaners,Own-child,0,0.193878,<=50K
0.041096,Some-college,0.6,Never-married,Sales,Own-child,0,0.295918,<=50K
0.753425,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,0.200512,0.479592,>50K
0.753425,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,0.02653,0.397959,<=50K
0.273973,Prof-school,0.933333,Married-civ-spouse,Other-service,Wife,0,0.602041,>50K
0.506849,Some-college,0.6,Married-civ-spouse,Adm-clerical,Husband,0,0.397959,>50K
0.424658,HS-grad,0.533333,Married-civ-spouse,Tech-support,Husband,0,0.397959,<=50K
0.315068,Some-college,0.6,Divorced,Sales,Not-in-family,0,0.193878,<=50K
0.260274,Assoc-voc,0.666667,Divorced,Exec-managerial,Not-in-family,0,0.397959,<=50K
0.589041,7th-8th,0.2,Married-civ-spouse,?,Husband,0,0.397959,<=50K
0.246575,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.328767,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,0,0.602041,>50K
0.479452,Some-college,0.6,Married-civ-spouse,Prof-specialty,Husband,0,0.561224,>50K
0.273973,HS-grad,0.533333,Divorced,Sales,Unmarried,0,0.755102,<=50K
0.068493,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,0,0.295918,<=50K
0.575342,Some-college,0.6,Never-married,Adm-clerical,Unmarried,0,0.397959,<=50K
0.232877,Some-college,0.6,Never-married,Tech-support,Unmarried,0,0.397959,<=50K
0.342466,Bachelors,0.8,Divorced,Prof-specialty,Unmarried,0,0.295918,<=50K
0.054795,HS-grad,0.533333,Never-married,Other-service,Not-in-family,0,0.397959,<=50K
0.068493,Assoc-acdm,0.733333,Never-married,?,Own-child,0,0.040816,<=50K
0.315068,11th,0.4,Married-civ-spouse,Craft-repair,Husband,0,0.44898,<=50K
0.205479,Bachelors,0.8,Never-married,Adm-clerical,Not-in-family,0,0.397959,<=50K
0.205479,Bachelors,0.8,Never-married,Machine-op-inspct,Not-in-family,0,0.397959,<=50K
0.39726,HS-grad,0.533333,Married-civ-spouse,Handlers-cleaners,Husband,0,0.346939,<=50K
0.054795,Some-college,0.6,Never-married,Exec-managerial,Own-child,0,0.193878,<=50K
0.178082,HS-grad,0.533333,Never-married,Other-service,Not-in-family,0,0.397959,<=50K
0.410959,Some-college,0.6,Divorced,Other-service,Not-in-family,0,0.295918,<=50K
0.493151,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,0,0.469388,>50K
0.191781,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0.076881,0.55102,>50K
0.30137,Assoc-acdm,0.733333,Never-married,Adm-clerical,Not-in-family,0,0.193878,<=50K
0.452055,HS-grad,0.533333,Married-civ-spouse,Other-service,Wife,0,0.295918,<=50K
0.054795,Some-college,0.6,Never-married,Other-service,Not-in-family,0,0.346939,<=50K
0,10th,0.333333,Never-married,?,Own-child,0,0.193878,<=50K
0.767123,Bachelors,0.8,Widowed,?,Unmarried,0,0.061224,<=50K
0.30137,Masters,0.866667,Married-civ-spouse,Sales,Husband,0,0.55102,>50K
0.054795,HS-grad,0.533333,Married-spouse-absent,?,Own-child,0,0.397959,<=50K
0.041096,Some-college,0.6,Never-married,Transport-moving,Own-child,0,0.22449,<=50K
0.219178,HS-grad,0.533333,Never-married,Transport-moving,Not-in-family,0,0.602041,<=50K
0.780822,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Husband,0,0.295918,>50K
0.109589,Some-college,0.6,Divorced,Craft-repair,Not-in-family,0,0.397959,<=50K
0.465753,HS-grad,0.533333,Married-civ-spouse,?,Wife,0,0.020408,>50K
0.191781,HS-grad,0.533333,Never-married,Handlers-cleaners,Own-child,0,0.5,<=50K
0.136986,Some-college,0.6,Never-married,Adm-clerical,Not-in-family,0,0.602041,<=50K
0.191781,11th,0.4,Married-civ-spouse,Farming-fishing,Husband,0,0.55102,>50K
0.424658,Masters,0.866667,Divorced,Prof-specialty,Unmarried,0,0.397959,<=50K
0.767123,HS-grad,0.533333,Widowed,Sales,Not-in-family,0,0.020408,<=50K
0.232877,Masters,0.866667,Married-civ-spouse,Prof-specialty,Wife,0.076881,0.316327,>50K
0.178082,HS-grad,0.533333,Married-civ-spouse,Prof-specialty,Husband,0,0.5,<=50K
0.493151,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,0,0.397959,>50K
0.273973,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,0,0.397959,>50K
0.027397,Some-college,0.6,Never-married,Adm-clerical,Own-child,0,0.244898,<=50K
0.493151,12th,0.466667,Married-civ-spouse,Transport-moving,Husband,0.050131,0.44898,<=50K
0.575342,Prof-school,0.933333,Divorced,Prof-specialty,Not-in-family,0.135501,0.397959,>50K
0.30137,Bachelors,0.8,Divorced,Adm-clerical,Unmarried,0,0.397959,<=50K
0.082192,Bachelors,0.8,Never-married,Adm-clerical,Own-child,0,0.377551,<=50K
0.123288,Bachelors,0.8,Never-married,Adm-clerical,Not-in-family,0,0.428571,<=50K
0.534247,Some-college,0.6,Married-civ-spouse,Other-service,Husband,0,0.397959,<=50K
1,Some-college,0.6,Never-married,Adm-clerical,Own-child,0,0.112245,<=50K
0.246575,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Wife,0,0.27551,>50K
0.082192,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.479452,9th,0.266667,Divorced,Transport-moving,Not-in-family,0,0.397959,<=50K
0.356164,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,>50K
0.328767,HS-grad,0.533333,Separated,Other-service,Unmarried,0,0.142857,<=50K
0.30137,Some-college,0.6,Never-married,Sales,Not-in-family,0,0.397959,<=50K
0.534247,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,0,0.5,>50K
0.191781,Some-college,0.6,Divorced,Exec-managerial,Not-in-family,0,0.5,<=50K
0.712329,Bachelors,0.8,Married-civ-spouse,Transport-moving,Husband,0,0.244898,<=50K
0.273973,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,0,0.44898,<=50K
0.123288,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,0,0.602041,>50K
0.39726,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0,0.602041,>50K
0.041096,10th,0.333333,Never-married,Sales,Not-in-family,0,0.295918,<=50K
0.465753,Bachelors,0.8,Married-civ-spouse,Other-service,Husband,0,0.397959,>50K
0.630137,Some-college,0.6,Married-civ-spouse,?,Husband,0,0.295918,>50K
0.342466,Some-college,0.6,Married-civ-spouse,Sales,Husband,0.051781,0.397959,>50K
0.164384,HS-grad,0.533333,Married-civ-spouse,Other-service,Wife,0,0.346939,>50K
0.616438,12th,0.466667,Never-married,Craft-repair,Unmarried,0,0.397959,<=50K
0.246575,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0,0.397959,<=50K
0.479452,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,0,0.397959,>50K
0.643836,1st-4th,0.066667,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.150685,Assoc-voc,0.666667,Never-married,Tech-support,Own-child,0,0.55102,<=50K
0.739726,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,0.093861,0.5,>50K
0.219178,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,0,0.561224,<=50K
0.260274,7th-8th,0.2,Married-civ-spouse,Handlers-cleaners,Husband,0,0.397959,<=50K
0.684932,Masters,0.866667,Divorced,Sales,Not-in-family,0,0.397959,<=50K
0.123288,11th,0.4,Married-civ-spouse,Transport-moving,Husband,0,0.346939,<=50K
0.328767,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,0,0.653061,>50K
0.246575,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,0,0.5,<=50K
0.630137,1st-4th,0.066667,Married-civ-spouse,Other-service,Husband,0,0.244898,<=50K
0.136986,HS-grad,0.533333,Married-civ-spouse,Other-service,Husband,0,0.397959,<=50K
0.328767,11th,0.4,Never-married,Machine-op-inspct,Not-in-family,0,0.397959,<=50K
0.178082,Some-college,0.6,Never-married,Adm-clerical,Unmarried,0,0.438776,<=50K
0.136986,10th,0.333333,Never-married,Handlers-cleaners,Unmarried,0,0.397959,<=50K
0.520548,Some-college,0.6,Divorced,Sales,Not-in-family,0,0.653061,>50K
0.109589,Bachelors,0.8,Never-married,Prof-specialty,Own-child,0,0.397959,<=50K
0.219178,HS-grad,0.533333,Never-married,Machine-op-inspct,Not-in-family,0,0.397959,<=50K
0.246575,Assoc-voc,0.666667,Married-civ-spouse,Tech-support,Husband,0,0.397959,<=50K
0.30137,Some-college,0.6,Married-civ-spouse,Transport-moving,Husband,0,0.428571,>50K
0.205479,Some-college,0.6,Married-civ-spouse,Sales,Husband,0,1,>50K
0.452055,Doctorate,1,Never-married,Exec-managerial,Not-in-family,0.135501,0.5,>50K
0.30137,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,0,0.397959,<=50K
0.30137,Some-college,0.6,Divorced,Craft-repair,Unmarried,0,0.234694,<=50K
0.39726,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,0.050131,0.5,<=50K
0.493151,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,0,0.397959,<=50K
